onset,rime,vq,F0,gender,group,df1,df2,choice,RT,pcp
b,ao,modal,6,female,G1,p<f,-3,0,1850,718382
b,ao,creaky,11,female,G4,p>f,2,0,1671,718382
b,ao,creaky,3,female,G3,p<f,-6,0,1187,718382
d,ao,modal,10,female,G2,p>f,1,0,1279,718382
d,ao,modal,12,female,G2,p>f,3,0,1635,718382
d,ao,creaky,13,female,G4,p>f,4,0,2792,718382
d,ao,creaky,4,female,G3,p<f,-5,0,1208,718382
f,a,modal,3,female,G1,p<f,-6,0,1575,718382
f,a,modal,5,female,G1,p<f,-4,0,1459,718382
f,a,modal,8,female,G1,p<f,-1,0,1640,718382
f,a,creaky,8,female,G3,p<f,-1,0,1361,718382
sh,a,modal,13,female,G2,p>f,4,1,1850,718382
sh,a,modal,7,female,G1,p<f,-2,0,1938,718382
sh,a,creaky,14,female,G4,p>f,5,1,1803,718382
sh,a,creaky,15,female,G4,p>f,6,1,2041,718382
z,ao,creaky,10,female,G4,p>f,1,0,1495,718382
z,ao,creaky,12,female,G4,p>f,3,0,1901,718382
z,ao,creaky,5,female,G3,p<f,-4,0,1326,718382
z,ao,creaky,6,female,G3,p<f,-3,0,1626,718382
zh,ao,modal,11,female,G2,p>f,2,0,1709,718382
zh,ao,modal,14,female,G2,p>f,5,1,2344,718382
zh,ao,modal,15,female,G2,p>f,6,1,1793,718382
zh,ao,creaky,7,female,G3,p<f,-2,0,1708,718382
b,ao,modal,2,male,G2,p>f,3,0,1565,718382
b,ao,modal,3,male,G2,p>f,4,1,1948,718382
b,ao,creaky,-7,male,G3,p<f,-6,0,3369,718382
b,ao,creaky,2,male,G4,p>f,3,0,1916,718382
d,ao,modal,-5,male,G1,p<f,-4,0,1412,718382
d,ao,creaky,-5,male,G3,p<f,-4,0,1265,718382
d,ao,creaky,1,male,G4,p>f,2,0,1778,718382
d,ao,creaky,3,male,G4,p>f,4,0,3848,718382
f,a,modal,-3,male,G1,p<f,-2,0,1209,718382
f,a,modal,-7,male,G1,p<f,-6,0,1204,718382
f,a,modal,1,male,G2,p>f,2,0,2294,718382
